id,jam_id,pivot,skater_id,points
319,32,0,4,0
320,32,0,6,0
321,33,0,25,10
322,33,1,16,0
323,33,0,27,0
324,33,0,15,0
325,33,0,22,0
326,33,0,8,0
327,33,1,2,0
328,33,0,12,0
329,33,0,9,0
330,33,0,13,0
331,34,0,20,0
332,34,1,26,0
333,34,0,23,0
334,34,0,17,0
335,34,0,19,0
336,34,0,7,8
337,34,1,3,0
338,34,0,1,0
339,34,0,4,0
340,34,0,6,0
341,35,0,20,4
342,35,1,16,0
343,35,0,27,0
344,35,0,15,0
345,35,0,22,0
346,35,0,11,4
347,35,1,9,0
348,35,0,2,0
349,35,0,12,0
350,35,0,13,0
351,36,0,24,0
352,36,1,26,0
353,36,0,23,0
354,36,0,22,0
355,36,0,19,0
356,36,0,5,6
357,36,1,9,0
358,36,0,1,0
359,36,0,4,0
360,36,0,13,0
361,37,0,21,4
362,37,1,16,0
363,37,0,27,0
364,37,0,15,0
365,37,0,22,0
366,37,0,11,0
367,37,1,3,0
368,37,0,1,0
369,37,0,4,0
370,37,0,6,0
371,38,0,20,14
372,38,1,26,0
373,38,0,23,0
374,38,0,17,0
375,38,0,19,0
376,38,0,7,0
377,38,1,3,0
378,38,0,2,0
379,38,0,9,0
380,38,0,13,0
381,39,0,24,3
382,39,1,16,0
383,39,0,27,0
384,39,0,15,0
385,39,0,22,0
386,39,0,11,0
387,39,1,1,0
388,39,0,2,0
389,39,0,4,0
390,39,0,3,0
391,40,0,21,2
392,40,1,26,0
393,40,0,27,0
394,40,0,23,0
395,40,0,19,0
396,40,0,5,3
397,40,1,1,0
398,40,0,2,0
399,40,0,9,0
400,40,0,13,0
401,41,0,24,4
402,41,1,16,0
403,41,0,27,0
404,41,0,15,0
405,41,0,22,0
406,41,0,11,0
407,41,1,3,0
408,41,0,1,0
409,41,0,2,0
410,41,0,4,0
